id,name,artists,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year
5zrWDcVJyNiD1EwhfQak3D,"My True Love Loves Me (feat. Tom Rozum, Nina Gerber & Tristan Clarridge)","['Laurie Lewis', 'Tom Rozum', 'Nina Gerber', 'Tristan Clarridge']",FALSE,0.525,0.422,0,-8.406,1,0.0319,0.958,0.000521,0.682,0.409,102.27,213853,4,2014
0dgHU5aGnUoiMoFz8p76SR,Barstow (feat. Tom Rozum & Nina Gerber),"['Laurie Lewis', 'Tom Rozum', 'Nina Gerber']",FALSE,0.393,0.445,11,-7.147,1,0.0332,0.861,0.000625,0.347,0.418,153.858,320920,4,2014
3S2tIhl8qjNInCUjeEeReV,"Garden Grow (feat. Tom Rozum, Nina Gerber & The T Sisters)","['Laurie Lewis', 'Tom Rozum', 'Nina Gerber', 'T Sisters']",FALSE,0.695,0.706,2,-5.296,1,0.0574,0.853,0,0.843,0.917,99.471,169373,4,2014
1hBGvq0uDoepSDyKEEIfSh,Sailing Boat (feat. Tom Rozum & Nina Gerber),"['Laurie Lewis', 'Tom Rozum', 'Nina Gerber']",FALSE,0.374,0.309,4,-9.887,1,0.0402,0.882,0.00138,0.704,0.33,143.867,331013,4,2014
1A2HNxO59LuUm0pwolnHHQ,"I'm Missing You Tonight (feat. Tom Rozum, Nina Geber & Chloe Tietjen)","['Laurie Lewis', 'Tom Rozum', 'Nina Geber', 'Chloe Tietjen']",FALSE,0.559,0.551,9,-7.739,1,0.0286,0.826,0.000204,0.318,0.697,107.721,178600,4,2014
2lQc2Q704yacaweRQwRrhf,Kisses (feat. Tom Rozum & Nina Gerber),"['Laurie Lewis', 'Tom Rozum', 'Nina Gerber']",FALSE,0.425,0.365,9,-7.543,1,0.0545,0.889,0,0.693,0.51,175.528,285987,3,2014
4N2ehG9hagIV5oTic7ucK3,En Voz Baja (feat. Tom Rozum & Nina Gerber),"['Laurie Lewis', 'Tom Rozum', 'Nina Gerber']",FALSE,0.423,0.283,7,-11.473,0,0.0331,0.905,0.00363,0.7,0.16,97.674,297533,4,2014
2HCWThRDe6XhB3ZFL3LroK,Down to Tampa (feat. Tom Rozum & Nina Gerber),"['Laurie Lewis', 'Tom Rozum', 'Nina Gerber']",FALSE,0.414,0.456,7,-8.497,1,0.0553,0.84,0,0.651,0.78,202.153,243307,4,2014
2RDS7tO0M8kr6K5vbz8xZP,"Trees (feat. Nina Gerber, Tristan Clarridge, The T Sisters & Tom Rozum)","['Laurie Lewis', 'Nina Gerber', 'Tristan Clarridge', 'T Sisters', 'Tom Rozum']",FALSE,0.334,0.196,9,-9.732,1,0.0381,0.879,0,0.701,0.124,96.827,259693,3,2014
3ywXEaCSwHlOAHbq5Tf1fO,Winthrop Waltz (feat. Tom Rozum & Nina Gerber),"['Laurie Lewis', 'Tom Rozum', 'Nina Gerber']",FALSE,0.266,0.271,2,-13.014,1,0.032,0.927,0.601,0.703,0.165,78.213,275600,3,2014
